clean_text,y,fecha_recoleccion
"¡Experiencia increíble en el Mercado de Faena!
dic 2025 • Parejas
Ayer comí en el Mercado de Faena y fue una experiencia genial. La atención es súper cálida y atenta, y la comida, deliciosa y abundante. Todo de 10, ¡recomiendo mucho! Volveré pronto.",1,2025-12-27 07:04:52.128835
"Calidad de la comida
dic 2025 • Parejas
Calidad excelente. Pedimos las empanadas de entrante y pestaña de ojo de bife de principal. Sin dudas para repetir. El camarero Leo nos atendió de lujo, y el sommelier nos recomendó muy bien.",1,2025-12-27 07:05:03.098248
"Festejo
dic 2025 • Parejas
Excelente comida, buenísimo los cortes de carne elegidos y el acompañamiento. Muy buen ambiente y espectacular la atención de Ivan, muy amable y servicial.",1,2025-12-27 07:05:14.221761
"Increíble
dic 2025 • Negocios
Exquisita la comida.
La carne, de otro nivel. Lo mejor de Buenos Aires.
Y la atención ha sido un lujo.
Volveré cada vez que esté por la zona.",1,2025-12-27 07:05:32.297002
"Muy buena atención
dic 2025 • Amigos
Excelente atención de juan pablo y en general. Muy rico todo, muy lindo ambiente, precios acordes al lugar pero totalmente razonables,",1,2025-12-27 07:05:42.161335
"Recomendable
dic 2025 • Amigos
Rica la comida, excelente atención, destacable la atención de Juan Pablo. Música y clima agradable, luz tenue. Rápida atención",1,2025-12-27 07:05:51.720510
"El cumpleaños de 60 de mi suegro
dic 2025 • Familia
Muy buena la comida y la atención de Juan Pablo ! Desde la entrada al postre todos los sabores fueron muy buenos y todos muy atentos",1,2025-12-27 07:06:00.632692
"Gran experiencia
dic 2025 • Parejas
Riquísima la comida . Recomiendo la entraña y las mollejas . Excelente atención de Ivan y Juan Pablo.
Para venir y volver muchas veces!!",1,2025-12-27 07:06:12.576408
"Volveriamos
dic 2025 • Parejas
Lo disfrutamos mucho. La atención espectacular, destacamos a Camila y Delfina por su amabilidad y lo atentas al detalle. Las papas podrían ser mejores pero el resto de la comida espectacular.",1,2025-12-27 07:06:26.255066
"Excelente
dic 2025 • Negocios
Excelente todo
Muy buen servicio
Las chicas que atienden todo ok",1,2025-12-27 07:06:37.633653
"Genial
dic 2025 • Parejas
Lugar muy recomendable, comida tradicional argentina muy sabrosa y muy lindo ambiente. Destacamos la atención de Leo y todos los meseros que nos trataron muy amablemente.",1,2025-12-27 07:06:47.856290
"Excelente
dic 2025 • Parejas
Excelente atención excelente la comida y muy buena atención y muy agradable fue Adrián en todo momento con nosotros, gracias",1,2025-12-27 07:07:39.020836
"Excelente
dic 2025 • Parejas
Excelente atencion de adrian , muy amable , gentil y atento
Muchas grs",1,2025-12-27 07:07:52.578881
"Muy recomendable
dic 2025 • Parejas
Excelente atencion y productos. Nos atendio Adrian, muy atento y nos aconsejo muy bien. El vino Faena Reserva Malbec muy recomendable.",1,2025-12-27 07:08:01.527590
"Me encantan todo! Muy buen servicio de Darío, súper amable y buena gente. Gracias por todo! Ale el restaurante y su esti
dic 2025 • Parejas
Me encantan todo! Muy buen servicio de Darío, súper amable y buena gente. Gracias por todo! Ale el restaurante y su estilo!",1,2025-12-27 07:08:12.771840
"Acogedora y gratificante
dic 2025 • Parejas
Maravillosa y acogedora.
Agradezco la atención recibida por Camila Benítez y Liam; sentí mucha familiaridad y calidez, en todo momento. Prometemos volver en nuestra próxima visita a BsAs.
Besos de una peruana y un español.",1,2025-12-27 07:08:23.603358
feo malo malo,0,2025-12-27 07:09:20.957031
una real tonteria,1,2025-12-27 07:22:14.612898
una real tonteria,0,2025-12-27 07:22:18.496196
fue pesimo,0,2025-12-27 07:22:24.802861
no me gusto nada,0,2025-12-27 07:22:35.487513
"la comida me pareció muy mala , el servicio fue pésimo",0,2025-12-27 20:46:40.431213
fue como el orto,0,2025-12-27 20:47:21.119541
fue como el  malisimo,0,2025-12-27 20:47:38.054389
fue como el  oyo,0,2025-12-27 20:47:51.136070
"La experiencia mas desagradable
Voy a relatar día por día la experiencia que he tenido en este supuesto hotel familiar 5 estrellas
Hoy ha sido nuestro primer día de un viaje familiar donde desde hace 4 meses reservamos 6 habitaciones
Desde la llegada ha sido un infierno la recepción donde nos tardaron casi 2 horas en darnos a unos las habitaciones a los que llegaron después les tardaron mucho más porq había solo una persona haciendo el check in de los q llegaban a esa hora
3 de los cuartos teníamos reservada una cuna en cada cuarto son más de las 10 de la noche y no han llegado las cunas, nadie responde el teléfono y tuvimos que venir a recepción a ver q pasaba, no hay respuesta de nadie… seguimos esperando
Será un hotel familiar 5 estrellas???",0,2025-12-27 21:29:01.007077
"Vacaciones anuladas
Experiencia pésima. El hotel pone trabas desde el inicio: no aceptan tarjetas extranjeras y obligan a pagar más usando Booking. Ignoran correos y WhatsApp antes de la llegada y, una vez allí, te fuerzan a armar un itinerario cuando solo quieres descansar. El personal de concierge fue grosero, arrogante y cero empático. Controlan totalmente tu tiempo: las actividades y ferris salen a horarios absurdos, te quitan el día completo y no permiten cambios ni aunque pagues el transporte. No tienes libertad, no te escuchan y te tratan como si te hicieran un favor. Muy mala atención y cero respeto al huésped.",0,2025-12-27 21:29:24.163395
"Servicio increíblemente horrible
Para aquellos que consideran Hotel Xcaret México para su destino Cancún, aquí hay algunas cosas a tener en cuenta. El hotel acaba de pasar por una expansión y es muy poco organizado. No espere una experiencia de resort de cinco estrellas, ya que las comodidades básicas como agua y cunas, y el servicio al cliente en general son aparentemente inexistentes aquí. Es imposible hablar con un gerente, usted tiene que pasar por al menos 5 niveles diferentes de personal para obtener cualquier cosa resuelta que se comerá su tiempo en el complejo. Resort tiene grandes actividades, etc, pero el servicio no está allí. El personal parece cansado, sobrecargado de trabajo y simplemente molesto. Ha sido nuestra peor experiencia en Cancún. Si quieres unas vacaciones tranquilas y tranquilas en un hermoso resort con un servicio excepcional te recomendaría alojarte en la zona de Mayakoba, no en lo que parece ser un resort de lujo pero termina siendo un hotel deficiente.",0,2025-12-27 21:29:41.868197
"Mejoras en Servicios
Visite el hotel en la fechas de 10 al 12 de noviembre, como todo hotel tiene deficiencias en la recepción, robots atendiéndote de manera en la que te están haciendo un favor, dando instrucciónes vacías, sin interés más que en verte dar la vuelta.

Lo único bueno es el acceso a los parques que te ayuda a permacer fuera hasta las 5 pm que es la entrega de habitaciones, Información por parte del personal.

Las habitaciones son cómodas, pero el servicio de limpieza es otra piedra en el zapato, las sábanas no se cambian, las cubiertas de las almohadas, las almohadas, lo
Único limpio al parecer son las toallas en general, reconozco que las amenidades de baño son buenas y eso si lo reemplazan de cierta manera si lo usas.

El servicio al cuarto es la peor experiencia, demasiado tiempo de espera, porciones pequeñas, solo te permiten ordenar un platillo por persona, 1 orden de hot cakes, un plato de frutas, y después puedes ordenar y esperar otros 60 minutos más si deseas otro platillo.

Lo único bueno que no merece la calificación por que si hizo un gran cambio y me hizo olvidar lo demás fue el servicio, la atención, la dedicación y entusiasmo de FRANCISCO del Restaurante Tama-mon, nos atendió en la cena del día 10 en mesa Fusión y excedió las expectativas de inicio a fin.

También quiero reconocer el gran trabajo del Cocinero en Mesa Teppanyaki de Xingao “Daniel”, el cual al parecer no fue un inicio de servicio en teppanyaki como el lo esperaba ya que hubo dificultades técnica y además parte del grupo en la mesa no se prestó para la interacción del servicio, sin embargo, Daniel no se cerró ni se limitó a continuar con el servicio y el Show, es increíble que no se deje opacar o controlar por el mal humor o energía negativa de sus comensales.
",0,2025-12-27 21:30:08.933240
"Decidí festejar mi cumpleaños en el hotel , iba muy ilusionada ya que era un destino que quería conocer, desde una primera instancia te hacen llegar tu lista de deseos y mencionar si tienes una ocasión especial, mencionando que era mi cumpleaños y aniversario. Al llegar al hotel me volvieron a preguntar de mi ocasión especial, mencionando mi cumpleaños ya que iban a tener una amenidad conmigo, cuando el mero día de mi cumpleaños paso desapercibido y note que a más huéspedes que igual tenían un festejo si les llegaba amenidades a su cuarto o en la alberca, no entiendo para que preguntan tanto que vas a festejar, si solo pasará desapercibido ese momento ""especial"". Al igual que cuentan con amenidades en la habitación, bebidas en el mini bar, estuve pidiendo por 2 días que se me reabasteciera, no teniendo éxito, ya que tampoco contestaban el teléfono de la habitación, hasta que tuve que ir al Lobby y me pudieran ayudar con este tema, falta mucho seguimiento a las peticiones que hace el huéspedes o a las necesidades que llega a tener.
Y muuy ineficiente la linea de ventas, primero te dicen que no debes sentirte presionado, que no te obligan a compra, cuando fue lo contrario, 4-5 horas insistentes y no tienen la flexibilidad y comunicación correcta con el huésped.",0,2025-12-27 21:30:33.141779
"La comida estaba buena, la atención mala",0,2025-12-28 01:32:30.227274
Estaba todo muy bien,1,2025-12-28 01:33:04.346074
"Excelente perfecto, volveré ",1,2025-12-28 01:33:27.063612
"No volveria, mala atención ",0,2025-12-28 01:48:49.516423
estuvo genial la comida y la atención de los meseros fue excelente,1,2025-12-28 02:42:47.681116
"TODO FUE ESPECTACULAR , DESDE LA HABITACION , HASTA EL BOTONES DEL HOTEL ",1,2025-12-28 02:46:34.982269
"fue todo super bueno , me atendieron 10/10",1,2025-12-28 02:48:08.102799
El hotel en Sevilla era simplemente espectacular y muy limpio.,1,2025-12-28 05:48:51.909721
La habitación olía fatal y el ruido de la calle no me dejó dormir.,0,2025-12-28 05:48:51.909721
Personal increíblemente amable pero el precio es excesivo para lo que ofrecen.,0,2025-12-28 05:48:51.909721
Una experiencia mediocre el desayuno estaba frío y la cama incómoda.,0,2025-12-28 05:48:51.909721
Sevilla es una ciudad hermosa y el alojamiento estuvo a la altura de las expectativas.,1,2025-12-28 05:48:51.909721
Pésimo servicio en recepción tardaron una hora en darnos la llave.,0,2025-12-28 05:48:51.909721
Me encantó la terraza las vistas de la ciudad son maravillosas.,1,2025-12-28 05:48:51.909721
No volvería ni aunque fuera gratis una decepción total.,0,2025-12-28 05:48:51.909721
"El servicio fue un desastre total, nunca más volveré a este sitio.",0,2025-12-28 06:02:48.468264
¡Increíble! La atención fue de diez y la comida deliciosa.,1,2025-12-28 06:02:48.468264
"No me gustó nada el ambiente, estaba demasiado oscuro y ruidoso.",0,2025-12-28 06:02:48.468264
"Una maravilla de lugar, lo recomiendo al 100% a mis amigos.",1,2025-12-28 06:02:48.468264
"El personal es muy maleducado, me sentí muy mal atendido hoy.",0,2025-12-28 06:02:48.468264
"Todo perfecto, desde la entrada hasta el postre, una joya.",1,2025-12-28 06:02:48.468264
"Carísimo para la baja calidad que ofrecen, no pierdan su dinero.",0,2025-12-28 06:02:48.468264
Me sorprendió gratamente la rapidez y la amabilidad de todos.,1,2025-12-28 06:02:48.468264
"Una pena, esperaba mucho más y ha sido una gran decepción.",0,2025-12-28 06:02:48.468264
"Espectacular, sin duda el mejor lugar de la zona.",1,2025-12-28 06:02:48.468264
"La ubicación es inmejorable, justo al lado de la catedral de Sevilla.",1,2025-12-28 06:31:21.053313
"El ruido por la noche fue insoportable, no pudimos pegar ojo.",0,2025-12-28 06:31:21.053313
"Altamente recomendable, el trato del personal fue exquisito.",1,2025-12-28 06:31:21.053313
"Una decepción absoluta, las fotos no se parecen en nada a la realidad.",0,2025-12-28 06:31:21.053313
"Desayuno buffet muy completo y variado, todo riquísimo.",1,2025-12-28 06:31:21.053313
"El baño estaba sucio y olía a humedad, una experiencia muy desagradable.",0,2025-12-28 06:31:21.053313
"Repetiremos sin duda, calidad-precio de diez.",1,2025-12-28 06:31:21.053313
"Muy mala gestión de la reserva, nos tuvieron esperando dos horas.",0,2025-12-28 06:31:21.053313
"Las vistas desde la terraza son una maravilla, un sitio mágico.",1,2025-12-28 06:31:21.053313
"Habitaciones muy pequeñas y asfixiantes, no lo recomiendo.",0,2025-12-28 06:31:21.053313
"Todo fue perfecto, un hotel con mucho encanto y clase.",1,2025-12-28 06:31:21.053313
El aire acondicionado no funcionaba y hacía un calor horrible.,0,2025-12-28 06:31:21.053313
"Maravillosa experiencia, profundamente recomendable.
Es imposible no sentirse alguien completamente renovado y feliz después de vivir esta estadía. Instalaciones cómodas, seguras, tranquilas y sumamente agradables. Extraordinario servicio, caracterizado por su dedicación y amabilidad. Aguas termales con propiedades curativas reales que permiten el descanso y la sanación en un entorno seguro para todos los visitantes, caracterizado asimismo por su tranquilidad. En suma, una experiencia global formidable.",1,2025-12-28 06:38:03.748033
"Relajo.
Si buscan un lugar de relajo, el Hotel y las termas son el lugar indicado. Realmente disfruté de todos los servicios.",1,2025-12-28 06:38:23.177951
"Todo excelente gran servicio y de muy alto estándar, de maravilla,
Todo de maravilla, gran servicio, excelente nivel y estándar en todas las áreas, pulcritud y limpieza",1,2025-12-28 06:38:37.006584
"Sobre mi estadía
Muy bueno. Ansío volver. Hagan mas promos! Para residentes de patagonia argentina, nos queda muy cerca, pero nos resulta un poco caro",1,2025-12-28 06:38:53.080549
"Excelente Hotel
Todo el personal fue extremadamente amable, muy trabajador y siempre dispuesto a ayudar. La experiencia fue realmente especial, ya que acudimos para celebrar el cumpleaños número 90 de mi mamá, y nos brindaron un espacio adecuado y todo el apoyo necesario para que fuera un momento inolvidable. Todo estaba impecablemente limpio y bien organizado, lo que hizo que nos sintiéramos cómodos y cuidados. Además, la atención fue rápida y eficiente, incluso cuando se notaba que tenían poco tiempo, siempre mantuvieron una actitud positiva y profesional. Se agradece profundamente la dedicación y el esfuerzo del equipo para que todo saliera perfecto.
Un detalle que valoramos mucho fue la amabilidad de incorporar a dos personas que se sumaron por el día a nuestra mesa, lo que demuestra su flexibilidad y excelente disposición para que todos pudiéramos compartir juntos. ¡Felicitaciones por su compromiso y excelente servicio!

",1,2025-12-28 06:39:12.068155
"Días de relajo y tranquilidad
El hotel muy conectado con la naturaleza en un entorno de respeto, paz y conexión, el personal una maravilla siempre atento a ayudar",1,2025-12-28 06:39:33.039784
"Un buen recuerdo
Fue una buena experiencia, buena atención, excelentes instalaciones en un entorno de ensueño, en resumen un buen recuerdo.
",1,2025-12-28 06:39:44.478140
"Exelente
Muy buen hotel para disfrutar en familia! muy amable y cordial el staff!
Las instalaciones y el entorno son de primera! Recomendado",1,2025-12-28 06:40:01.144544
"Increíble
Es un precioso lugar, hemos ido 3 veces con mi mamá y esta vez a diferencia de la segunda, que no nos gustó tanto, nos pareció que estuvo muy bueno, fue realmente un agrado!",1,2025-12-28 06:40:28.474621
"Espectacular
Majestuoso lugar calida y amable atencion de todo el personal instalaciones impecables dispuestas al relax y verdadero descanso",1,2025-12-28 06:40:41.912961
"Genial, pero a no descuidarse
Para quienes conocieron el hotel antes de la pandemia, sabrán que era una maravilla, ojo lo sigue siendo; pero su pecado es que han subido demasiado sus precios (se entiende por efecto IPC), pero ha sido en conjunto al encarecimiento de servicios (el transfer antiguamente se incluía, ahora es costo adicional, y también con algunas actividades dentro y fuera del recinto), la señal de atención es que aun cuando los costos suban no se ve una mejora o innovación; es decir por lo mismo y con menos servicios te cobran más. Si tienes los recursos anda, lo vas a disfrutar.",0,2025-12-28 06:41:12.475906
"Horrible
Pésimo, la cafetería es cara para que la comida sea recalentada, una pizza en bolsa, un lomo vetado que venía con el plato en alusa, fetuccini donde lo mezclan con fideos del supermercado, el personal deficiente, prácticamente te tira las cosas, no responde a las preguntas que se le hacen y atienden con una actitud pesimista. Prácticamente fue un autoservicio ya que atendían a las otras mesas y a nosotros nos llamaban desde el mesón para que vayamos a buscar nuestros platos de comida recalentados, no fueron capaces de llevar un tenedor a la mesa. Una horrible experiencia que no la recomiendo. Nosotros también trabajamos en el rubro de atención al cliente y como garzones, claramente el servicio fue nefasto y poco servicial, si no quieren atender, no trabajen.",0,2025-12-28 06:43:17.422551
"Familias enfermas del estómago
Segunda vez que vamos en familia, la primera fue excelente en todos los ambitos. En esta oportunidad fue decepcionante.
Del grupo de amigos que fuimos varios nos enfermamos del estomago, vómitos y malestar, ataca más fuerte a los niños. Al parecer llevan más de 2 meses con este problema, conversando con otras familias les pasó lo mismo.
Por otro lado, bajaron notablemente el nivel de las comidas.

Es probable que pierdas 1 o 2 días de vacaciones por el virus que anda circulando.

Leer menos",0,2025-12-28 06:43:40.461648
"Una decepción total
Como familia hemos ido más 4 veces a Termas de Puyehue siempre con una gran experiencia, pero en esta oportunidad fue pésima. Todos en el hotel con un brote de virus con fiebre, vómitos y diarreas. La alimentación pésima, bajaron calidad bruscamente (fruta congelada), la atención del personal que siempre destacó por su amabilidad hoy muy mal.",1,2025-12-28 06:44:08.099558
"Una decepción total
Como familia hemos ido más 4 veces a Termas de Puyehue siempre con una gran experiencia, pero en esta oportunidad fue pésima. Todos en el hotel con un brote de virus con fiebre, vómitos y diarreas. La alimentación pésima, bajaron calidad bruscamente (fruta congelada), la atención del personal que siempre destacó por su amabilidad hoy muy mal.",0,2025-12-28 06:44:33.000314
"Mini vacaciones
Comidas malas, mi sra y siete pasajeros mas sae enfermaron del estomago Pasaria como infeccion o no???",0,2025-12-28 06:45:01.100142
"Atención desastrosa/servicio deficiente/comidas horribles
No se concibe que un hotel cinco estrellas tenga tantas irregularidades,es muy probable que inicie acciones legales en su contra y una gran campaña de desprestigio en la región donde vivo",0,2025-12-28 06:45:40.932554
"Decepcionante
Lo que incluye el programa sueña es mentira. Incluida el servicio del Transfer, pero lo primero que hicieron fue cobrarlo ($50.000 pesos chilenos por persona) siendo que en el programa decía que esto ya estaba incluido.
El colchón de la habitación con olor a orina.",0,2025-12-28 06:45:52.657947
"Desepcion
Fui la semana pasada , como todos los años pero esta ves me desepcione ya que encontre que en las habitaciones eliminaron la cafetera , las tasa, el te, y el frigobar tampoco reponen las botellas de agua , algo minimo el servicio de comida no estaba muy bueno ,el servicio de trasfer te lo cobran aparte ahora ante te lo daban gratis ,la actividad como la cabalgata tambien te lo cobran , tube una sema y nunca tubieron menta para pretarar un trago y lo malo que los precios estan mas caro ... cuando programe ni proximas vacaciones la pensare muy bien si vulvo o no ..",0,2025-12-28 06:46:07.012577
"la atencion de los servio malo
cada vez estan mas al debe, restorante mal servicio, comida muy mala.se lo hice presente al personal que esta de turno",0,2025-12-28 06:46:21.563936
"Pésimo servicio, hotel en decadencia. Comida en mal estado personal poco calificado.
Este hotel fue maravilloso en su momento, de los mejores en el sur de Chile. Lamentablemente hoy vive una decadencia en todos los sentidos, personal poco calificado, comida “en mal estado” te cobrar por todo y lo peor, en la hora del té te entregan las sobras. No volvería jamás!!!
Fecha de la estadía:
",0,2025-12-28 06:46:34.091936
"Pésima experiencia
Soy cliente habitual, generalmente voy dos veces al año, lamentablemente ya no es lo que solía ser: pésima experiencia.

1-Partí el primer día con un problema dejaron la habitación de mi hijos separada y son menores de edad, por suerte al día siguiente lo resolvieron.

2-El dia de llegada las habitaciones cuentan con con dos botellas de agua sin gas, siempre al día siguiente los reponen, ahora debes salir con tu botella vacía a rellenar en un dispensador de pasillo….que es eso??? Vienes a un todo incluido….tampoco rellenan el frigobar como antes…..

3-durante el desayuno-almuerzo-comida el personal no está atento para servir más café,leche,refrescos, constantemente hay que levantarse de la mesa y pedir que te atiendan…de verdad es una molestia…falta un coordinador que dirija al equipo chequeando que mesa necesita algo.

4-El personal parece no estar contento en su lugar de trabajo se siente algo diferente a otros años, no entiendo si es un tema económico, o de calidad laboral, pero el personal no se ve contento y con disposición de hacer sentir bien al huésped.

5-Mi señora encontró una araña en un mojito, ya en un año anterior encontró un trozo de plástico en la comida de mi hijo menor…

6-para jugar billar ahora debes pedir las bolas abajo, ya no están liberadas…me imagino que se las robaban porque de lo contrario no entiendo el porqué.

7-no hay recambio de batas y toallas grandes, en las habitaciones.

8-la calidad de los colchones tampoco es la misma que otros años….

9-antes podías llevar algo de fruta o algo dulce a la habitación ahora por un tema de “higiene” lo prohiben.

Debo reconocer que hay personas en el equipo que intentan hacer lo mejor posible para enmendar errores pero lamentablemente no es suficiente….

De verdad cada día peor…pagar usd $4.000 por 5 días para recibir lo descrito con anterioridad es una burla…..",0,2025-12-28 06:47:12.697015
"Excelente, rquisimo y abundante.
dic 2025 • Parejas
Excelente atención, buen ambiente y lo mejor la comida riquisima.
100% recomendable.
El pisco peruano, excelente¡¡¡¡",1,2025-12-28 06:48:30.491898
"Excelente todo!
Vinimos por unos happy hours y terminamos comiendo unos riquísimos piqueos recomendados por la gorzona Lucero , quien nos brindó un gran experiencia esta noche!!!!
Felicidades Y éxitos Lucero!!!",1,2025-12-28 06:48:45.091015
"La comida muy rica, la atención excelente, nos atendió una mujer llamada, Luz, una mujer muy atenta muy amable, volvería una y mil veces con mi pareja!",1,2025-12-28 06:48:59.191640
El camarero era weon,0,2025-12-29 03:21:46.573581
El camarero era weon pero la comida estaba pulenta,0,2025-12-29 03:22:20.228791
esto está increíble,1,2025-12-29 03:33:29.281471
"todo genial la comida buena el servicio excelente ,me gusto la pasta y los camarones, la comida tenia la temperatura perfecta",1,2025-12-29 03:36:22.292095
La atención fue rápida pero el sistema no es nada intuitivo y falla mucho,0,2025-12-29 22:20:46.396433
"Excelente soporte técnico, resolvieron mi duda en minutos, muy recomendado.",1,2025-12-29 22:21:41.738359
"No es la mejor experiencia que he tenido, le falta mucho por mejorar",0,2025-12-29 22:22:06.560307
hola que tal?,0,2025-12-29 23:38:45.027096
"la pelicula fue bastante mala, no me gusto en absoluto
",0,2025-12-29 23:39:18.410451
"buena pelicula, excelente final",1,2025-12-29 23:39:48.073326
";.-¡'¡çç
",1,2025-12-29 23:43:09.921687
la wea estaba muy wena,0,2025-12-29 23:43:57.927245
la wea estaba muy wena,1,2025-12-29 23:44:03.541981
"la wea wena, estaba rica la burger",0,2025-12-29 23:45:15.872957
"la wea wena, estaba rica la burger",1,2025-12-29 23:45:21.072953
"la wea wena, estaba rica la burger",0,2025-12-29 23:45:46.361165
"la wea wena, estaba rica la burger",1,2025-12-29 23:46:00.952650
"la wea wena, estaba rica la burger",0,2025-12-29 23:46:33.476781
la wea wena,1,2025-12-29 23:46:50.819974
"la wea wena, estaba",0,2025-12-29 23:47:02.933656
"la comida fue pesima , no me gusto nada",0,2025-12-30 01:58:33.205698
la wea mala y fome,0,2025-12-30 02:00:19.955
"""La atención fue rápida pero el sistema no es nada intuitivo y falla mucho.""",0,2025-12-30 02:07:46.231755
"""Excelente soporte técnico, resolvieron mi duda en minutos, muy recomendado.""",1,2025-12-30 02:07:46.231755
"""No es la mejor experiencia que he tenido, le falta mucho por mejorar.""",0,2025-12-30 02:07:46.231755
"Fome total, muy básico.",1,2025-12-30 03:24:23.794487
"hola, como estas?
",0,2025-12-30 03:25:09.672940
"Fome total, muy básico.
",1,2025-12-30 03:25:52.494434
"pésimo servicio, muy desordenado",0,2025-12-30 03:29:55.739437
"pésimo servicio, muy desordenado",0,2025-12-30 03:30:54.134644
"pésimo servicio, muy desordenado",1,2025-12-30 03:31:02.176055
"pésimo servicio, muy desordenado",1,2025-12-30 03:35:03.924380
"pésimo servicio, muy desordenado",0,2025-12-30 03:35:05.587709
"pésimo servicio, muy desordenado",0,2025-12-30 03:35:10.298356
"pésimo servicio, muy desordenado",0,2025-12-30 03:35:15.154845
"pésimo servicio, muy desordenado",0,2025-12-30 03:35:18.187183
"pésimo servicio, muy desordenado",0,2025-12-30 03:35:20.964617
"pésimo servicio, muy desordenado",0,2025-12-30 03:35:49.625854
"pésimo servicio, muy desordenado",0,2025-12-30 03:36:06.590914
Ambiente muito aconchegante e pratos bem servidos. O custo-benefício é excelente para a região.,1
Lugar extremamente barulhento e mesas muito apertadas. Não conseguíamos nem conversar direito.,0
"Comida maravilhosa e tempero caseiro. O atendimento foi impecável, com certeza voltarei mais vezes!",1
"Equipe nota 10! Fomos muito bem recebidos desde a entrada até a hora de ir embora.""",1
"O tempero é único, tem aquele gostinho de comida de vó que a gente ama.",1
Infelizmente a experiência foi frustrante. O peixe não parecia estar fresco.,0
Ambiente muito abafado e o ar-condicionado parecia não estar funcionando.,0
Muita confusão nos pedidos. Trouxeram o prato errado duas vezes para a nossa mesa.,0
Preços abusivos por porções minúsculas. Saí de lá com fome.,0
